name,price,discount,url,image,rating,comments
"Lõi Xịt Thơm Phòng Tự Động Glade 7 mùi 252ml Hương Lavender, Hương Biển,Hoa anh Đào, Hương Sớm mai, trầm hương, peony","139,000", -13%,https://www.lazada.vn/products/pdp-i2742698813-s13899552130.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A13899552130%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A139000%3BdisplayPrice%3A139000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/ff/kf/S14bc2bea73c84d6aad7343c4d55ceb2ci.jpg_400x400q80.jpg,100,(122)
MAKI - Tất Maki,"85,000",No discount,https://www.lazada.vn/products/pdp-i2170878069-s14071528524.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14071528524%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A85000%3BdisplayPrice%3A85000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(53)
"FREESHIP MAX-Ấm đun siêu tốc, Bình đun nước siêu tốc 2.3L - Bảo Hành 1 Năm - An toàn cho mọi gia đình, ấm đun nước siêu tốc, âm nước siêu tốc thái lan, bình đun nước giữ nhiệt, am sieu toc giá rẻ, bình nấu nước siêu tốc","95,000", -37%,https://www.lazada.vn/products/pdp-i2074241627-s9709094764.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9709094764%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A95000%3BdisplayPrice%3A95000%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,96,(240)
"Combo 2 Túi nước giặt Lix siêu sạch hương hoa anh đào 2.4Kg 2C-N2503 sạch khử khuẩn, kết hợp giặt xả 2 trong 1 - Lixco Việt Nam","139,000", -37%,https://www.lazada.vn/products/pdp-i2061193434-s9628749678.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9628749678%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A139000%3BdisplayPrice%3A139000%3BsinglePromotionId%3A900000052208336%3BsingleToolCode%3AstoreFlashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(3879)
Bỉm quần/tã quần/tã dán 50/100 miếng！tả quần 100 miếng giá rẻ！tả quần cho bé	！tả dán bé sơ sinh！tã dán trẻ sơ sinh！bỉm dán cho bé sơ sinh！Siêu thoáng khí nam và nữ em bé siêu hấp thụ tã！Tã đang được giảm giá!,"92,000", -6%,https://www.lazada.vn/products/pdp-i2421557214-s11932641607.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A11932641607%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A92000%3BdisplayPrice%3A92000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,https://img.lazcdn.com/g/p/3ab8cd26559c71cfbde225d65046fef6.jpg_400x400q80.jpg,98,(1013)
"Combo 100 bút bi nước viết êm tay không lem mực ra tay, bút bi giá rẻ màu xanh, đồ dùng cho học sinh, văn phòng phẩm","43,000", -46%,https://www.lazada.vn/products/pdp-i2033155507-s9480508417.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9480508417%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A43000%3BdisplayPrice%3A43000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,https://img.lazcdn.com/g/p/7f2e7b2ecd634f1a44293b14f4de6e0f.jpg_400x400q80.jpg,100,(41)
Kẹo Đậu Phộng Mạch Nha Mè Trắng 13 miếng,"19,200", -54%,https://www.lazada.vn/products/pdp-i1229884057-s4560766461.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A4560766461%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A19200%3BdisplayPrice%3A19200%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,98,(807)
Thùng 24 Lon Nước Uống Có Gaz Aquafina Soda (320ml/lon),"148,900", -17%,https://www.lazada.vn/products/pdp-i2040763596-s9525241266.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9525241266%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A148900%3BdisplayPrice%3A148900%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(1804)
HTC NE19 Tai nghe dịch thuật thời gian thực AI Dịch 150 ngôn ngữTai nghe dịch thuật AI Tai nghe không dây Bluetooth OWS V6.0 chống nước IPX5  Thiết Kế Móc Tai Pin Trâu,"208,800", -60%,https://www.lazada.vn/products/pdp-i3123852339-s15027339676.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A15027339676%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A208800%3BdisplayPrice%3A208800%3BsinglePromotionId%3A900000052212796%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,98,(209)
Wurkkos WK03 LED Flashlight 18650 Torch 1800LM ATR Luminus SST40 Rechargeable USB C Light IP68 Waterproof for Hiking Camping,"359,804", -29%,https://www.lazada.vn/products/pdp-i1977947828-s9168576061.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9168576061%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A359804%3BdisplayPrice%3A359804%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(945)
